country;gdp.per.capita ;gov.effectiveness;gov.eff ;constraint.on.executive.average ;normalized.to ;development.composite.score cdf;years.under.imperial .domination;years.over.imperial.domination;gdp.p.capita ;population.density ;catholic;muslim;protestant;hindu.budhist;gov.effect
afghanistan;426;0,192362309;0,001923623;2;0,285714286;1,639042345;180;0;800;3,07;0;0,993;0;0;0,865630388
united arab emirates;42535;0,866361671;0,008663617;3;0,428571429;1105,545919;505;0;797;0,44;0,004;0,949;0,003;0;3,89862752
australia;59341;0,891761833;0,008917618;7;1;3704,277565;0;415;826;0,03;0,296;0,002;0,235;0;4,012928247
bolivia;3061;0,392906335;0,003929063;3;0,428571429;36,08929484;520;0;1184;0,8;0,925;0;0,023;0;1,768078506
brazil;8537;0,453268455;0,004532685;3;0,428571429;116,0993556;522;0;867;2,2;0,878;0,001;0,04;0;2,039708048
canada;43936;0,91197602;0,00911976;7;1;2804,820157;0;415;800;0,02;0,466;0,006;0,296;0;4,103892088
switzerland;87339;1,007166439;0,010071664;7;1;6157,597235;0;195;956;20,25;0,528;0,003;0,432;0;4,532248974
chile;14115;0,694681141;0,006946811;3;0,428571429;294,1827389;483;0;800;0,81;0,821;0;0,019;0;3,126065135
china;11188;0,742372195;0,007423722;2;0,285714286;166,1176943;0;267;1207;9,68;0;0,024;0;0,15;3,340674877
cameroon;1432;0,361041639;0,003610416;4;0,571428571;20,69292366;136;0;800;2,9;0,35;0,22;0,181;0;1,624687374
colombia;6418;0,552320171;0,005523202;3;0,428571429;106,3453455;522;0;942;3,6;0,966;0,002;0,009;0;2,485440771
cuba;7291;0,507712182;0,005077122;3;0,428571429;111,0529196;511;0;295;0,6;0,32;0;0,008;0;2,284704819
germany;42726;0,851365858;0,008513659;7;1;2546,310957;77;138;1827;25,7;0,35;0,0002;0,464;0;3,831146359
denmark;58359;1,000905196;0,010009052;7;1;4088,868759;0;486;1827;15;0,006;0,002;0,952;0;4,504073381
algeria;3943;0,417608923;0,004176089;3;0,428571429;49,4011142;506;0;685;0,6;0,005;0,991;0;0;1,879240155
ethiopia ;834;0,419281046;0,00419281;3;0,428571429;10,50246138;86;0;900;2,1;0,007;0,314;0,038;0;1,886764705
france;38045;0,837227689;0,008372277;7;1;2229,715792;0;420;1694;27;0,764;0,03;0,024;0;3,7675246
united kingdom;45101;0,839884679;0,008398847;7;1;2651,606236;0;415;1697;17,3;0,131;0,014;0,161;0;3,779481053
ghana;2014;0,522338043;0,00522338;2;0,285714286;21,04747012;540;0;800;7,5;0,187;0,157;0,258;0;2,350521192
greece;18907;0,654122127;0,006541221;7;1;865,7629755;367;0;1200;7,7;0,004;0,015;0,001;0;2,943549573
honduras;2428;0,381749882;0,003817499;3;0,428571429;27,80699557;520;0;800;9,7;0,958;0,001;0,026;0;1,717874467
haiti;1283;0,069447147;0,000694471;3;0,428571429;2,673130819;522;0;800;7,2;0,826;0;0,128;0;0,312512159
indonesia;3892;0,639779396;0,006397794;5;0,714285714;124,5183121;420;0;929;4,1;0,027;0,434;0,011;0,07;2,87900728
